name,cuisine,format,meal_type,red_flags,green_flags,ingredients
rice and beans,non-specific,bowl,lunch,,,"tomato, carrot, pepper, celery, kale, broccoli, green bean, onion, black bean, rice"
pesto tortellini,Italian,bowl,lunch,not universal,premade items,"tomato, pepper, onion, pasta"
italian baked eggs,Italian,bowl,dinner,,,"tomato, carrot, pepper, onion, mushroom, egg, rice"
oatmeal,American,bowl,breakfast,,,"oat"
overnight oats,American,bowl,breakfast,,,"oat"
parfaits,European,bowl,breakfast,not universal,,"yogurt"
smoothie,American,bowl,breakfast,cold,,"cucumber, spinach"
french toast casserole,European,casserole,breakfast,,universal,"bread"
chipotle black bean burritos,Mexican,composed,lunch,,,"tomato, pepper, black bean, tortilla"
PB banana roll ups,American,composed,breakfast,,universal,"tortilla"
apple nachos with granola,American,composed,breakfast,,universal,"tortilla"
broccoli pizza,Italian,composed,dinner,,universal,"tomato, broccoli, pepper, onion, mushroom, pizza dough"
margherita pizza,Italian,composed,dinner,,universal,"tomato, pepper, onion, mushroom, pizza dough"
protein granola bars,American,composed,breakfast,,,"carrot, squash"
egg and avocado sandwich,American,sandwich,breakfast,not universal,,"tomato, pepper, cucumber, lettuce, spinach, avocado, green bean, onion, egg, bread"
egg salad,American,sandwich,lunch,not universal,,"tomato, carrot, pepper, cucumber, celery, lettuce, spinach, onion, egg, bread"
falafel pitas,Asian,sandwich,lunch,,,"tomato, pepper, lettuce, onion, chickpea, pita"
potatoes and eggs,American,segmented,breakfast,not universal,,"tomato, pepper, potato, kale, onion, mushroom, egg"
chiles rellenos,Mexican,segmented,dinner,,,"tomato, pepper, onion, egg"
apple cinnamon muffins,American,segmented,breakfast,,universal,""
banana almond muffins,American,segmented,breakfast,,universal,""
blueberry lemon muffins,American,segmented,breakfast,,universal,"blueberry"
carrot raisin muffins,American,segmented,breakfast,,universal,"carrot, raisin"
choc chip pumpkin muffins,American,segmented,breakfast,,universal,"squash"
cranberry orange muffins,American,segmented,breakfast,,universal,""
double chocolate zucchini muffins,American,segmented,breakfast,,universal,"zucchini"
grilled cheese and tomato soup,American,segmented,lunch,,universal,"tomato, cauliflower, pepper, broccoli, bread"
protein pancakes,American,segmented,breakfast,standing,universal,"bread"
huevos rancheros,Mexican,skillet,breakfast,not universal,,"tomato, pepper, onion, egg, tortilla"
tortellini soup,Italian,soup,dinner,chopping,"soup, universal","tomato, carrot, pepper, celery, kale, onion, pasta"
